# Matter power spectrum P(k) at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.637242881919e-02       9.414495373737e+03 
       6.821447790535e-02       9.206242179073e+03 
       7.027120623908e-02       8.964235887546e+03 
       7.255127732672e-02       8.681732728635e+03 
       7.504972585530e-02       8.354004396601e+03 
       7.774630822446e-02       7.980754628769e+03 
       8.060862224015e-02       7.567968598725e+03 
       8.359900528026e-02       7.127995022741e+03 
       8.668172069278e-02       6.677643819805e+03 
       8.982743405100e-02       6.235172346320e+03 
       9.301442977493e-02       5.817300968731e+03 
       9.622773700232e-02       5.437139362347e+03 
       9.945751139537e-02       5.103073049891e+03 
       1.026974739223e-01       4.818708335814e+03 
       1.059436957830e-01       4.583295675720e+03 
       1.091937478011e-01       4.392556856364e+03 
       1.124461388965e-01       4.239667906745e+03 
       1.156999577935e-01       4.116090472342e+03 
       1.189546489666e-01       4.012610485136e+03 
       1.222098742094e-01       3.919991818307e+03 
       1.254654277220e-01       3.829822927777e+03 
       1.287211842536e-01       3.735183376489e+03 
       1.319770675153e-01       3.631168830663e+03 
       1.352330309695e-01       3.515185345725e+03 
       1.384890461567e-01       3.386990844427e+03 
       1.417450956072e-01       3.248430299406e+03 
       1.449275362319e-01       3.106277900278e+03 
       1.450011685359e-01       3.102943403139e+03 
       1.482572582289e-01       2.954943420338e+03 
       1.515133604560e-01       2.809151216099e+03 
       1.547694725068e-01       2.669999262489e+03 
       1.580255926037e-01       2.541173213916e+03 
       1.612817195460e-01       2.425293602313e+03 
       1.645378524917e-01       2.323798624125e+03 
       1.677939908254e-01       2.236950392957e+03 
       1.710501340766e-01       2.163946319336e+03 
       1.743062818700e-01       2.103123974822e+03 
       1.775624338943e-01       2.052201440817e+03 
       1.808185898828e-01       2.008532074732e+03 
       1.840747496015e-01       1.969359327652e+03 
       1.873309128408e-01       1.932599202395e+03 
       1.905870794106e-01       1.895372362802e+03 
       1.938432491369e-01       1.855791615754e+03 
       1.970994218589e-01       1.812623896006e+03 
       2.003555974275e-01       1.765362132623e+03 
       2.036117757039e-01       1.714229473999e+03 
       2.068679565588e-01       1.660053670616e+03 
       2.101241398708e-01       1.604080542452e+03 
       2.133803255263e-01       1.547716921996e+03 
       2.166365134188e-01       1.492402331495e+03 
       2.198927034481e-01       1.439339398562e+03 
       2.231488955198e-01       1.389539858996e+03 
       2.264050895452e-01       1.343717999077e+03 
       2.296612854406e-01       1.302299056663e+03 
       2.329174831271e-01       1.265416528942e+03 
       2.361736825299e-01       1.232910864775e+03 
       2.394298835787e-01       1.204350429481e+03 
       2.426860862066e-01       1.179074431678e+03 
       2.459422903507e-01       1.156274815972e+03 
       2.491984959510e-01       1.135083577726e+03 
       2.524547029508e-01       1.114673676942e+03 
       2.557109112964e-01       1.094337346256e+03 
       2.589671209366e-01       1.073536183163e+03 
       2.622233318230e-01       1.051920504611e+03 
       2.654795439094e-01       1.029321297791e+03 
       2.687357571520e-01       1.005750245341e+03 
       2.719919715088e-01       9.813538446769e+02 
       2.752481869403e-01       9.564112059874e+02 
       2.785044034084e-01       9.313109748365e+02 
       2.817606208770e-01       9.064835979554e+02 
       2.850168393116e-01       8.823632462729e+02 
       2.882730586794e-01       8.593285922417e+02 
       2.915292789488e-01       8.376619575747e+02 
       2.947855000899e-01       8.175214249414e+02 
       2.980417220738e-01       7.989416933407e+02 
       3.012979448732e-01       7.818549169141e+02 
       3.045541684617e-01       7.661193962940e+02 
       3.078103928142e-01       7.515431324671e+02 
       3.110666179065e-01       7.379066445797e+02 
       3.143228437156e-01       7.249732482990e+02 
       3.175790702192e-01       7.125044546242e+02 
       3.208352973961e-01       7.002723546448e+02 
       3.240915252260e-01       6.880809056705e+02 
       3.273477536892e-01       6.757844851760e+02 
       3.306039827669e-01       6.633034276757e+02 
       3.338602124411e-01       6.506258420314e+02 
       3.371164426943e-01       6.377999219246e+02 
       3.403726735100e-01       6.249139670986e+02 
       3.436289048721e-01       6.120781109985e+02 
       3.468851367650e-01       5.994039497217e+02 
       3.501413691739e-01       5.870026379510e+02 
       3.533976020844e-01       5.749659324232e+02 
       3.566538354829e-01       5.633799437290e+02 
       3.599100693559e-01       5.523083285752e+02 
