# dimensionless [l(l+1)/2pi] C_l's for scalar adiabatic (AD) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  113       4.330597530629e-10       1.238729388449e-13      -4.238501537188e-12       0.000000000000e+00       6.647212663928e-12       1.060357672708e-12      -6.072360666786e-15 
  114       4.376898273406e-10       1.254798448604e-13      -4.323813739693e-12       0.000000000000e+00       6.489570241193e-12       1.040716908073e-12      -5.986525666634e-15 
  115       4.423361942644e-10       1.270467274377e-13      -4.408335145897e-12       0.000000000000e+00       6.336463645458e-12       1.021610200416e-12      -5.903468529199e-15 
  116       4.469975858153e-10       1.285719109443e-13      -4.491991804949e-12       0.000000000000e+00       6.187500624583e-12       1.003010859057e-12      -5.824372504201e-15 
  117       4.516733896327e-10       1.300539121832e-13      -4.574712826356e-12       0.000000000000e+00       6.042622120388e-12       9.849133524490e-13      -5.749319939066e-15 
  118       4.563631049373e-10       1.314913159513e-13      -4.656427964339e-12       0.000000000000e+00       5.901838675720e-12       9.673152661807e-13      -5.678082841012e-15 
  119       4.610661506292e-10       1.328827323465e-13      -4.737066792826e-12       0.000000000000e+00       5.765137839517e-12       9.502109330256e-13      -5.610398628728e-15 
  120       4.657818626400e-10       1.342267980041e-13      -4.816558735211e-12       0.000000000000e+00       5.632483463319e-12       9.335913353374e-13      -5.545969233597e-15 
  121       4.705094912837e-10       1.355221773347e-13      -4.894833094127e-12       0.000000000000e+00       5.503814997784e-12       9.174440074492e-13      -5.484460200927e-15 
  122       4.752481986091e-10       1.367675637602e-13      -4.971819081210e-12       0.000000000000e+00       5.379046789197e-12       9.017529380708e-13      -5.425499791177e-15 
  123       4.799970557508e-10       1.379616809515e-13      -5.047445846867e-12       0.000000000000e+00       5.258067375983e-12       8.864984726873e-13      -5.368678081180e-15 
  124       4.847550402813e-10       1.391032840648e-13      -5.121642510044e-12       0.000000000000e+00       5.140738785223e-12       8.716572159569e-13      -5.313546065376e-15 
  125       4.895210335623e-10       1.401911609794e-13      -5.194338187991e-12       0.000000000000e+00       5.026895829161e-12       8.572019341094e-13      -5.259614757031e-15 
  126       4.942938180964e-10       1.412241335337e-13      -5.265462026033e-12       0.000000000000e+00       4.916345401721e-12       8.431014573435e-13      -5.206354289470e-15 
  127       4.990720748788e-10       1.422010587631e-13      -5.334943227331e-12       0.000000000000e+00       4.808865775016e-12       8.293205822255e-13      -5.153193017299e-15 
  128       5.038543807489e-10       1.431208301362e-13      -5.402711082655e-12       0.000000000000e+00       4.704205895866e-12       8.158199740874e-13      -5.099516617636e-15 
  129       5.086393548730e-10       1.439824195077e-13      -5.468695659938e-12       0.000000000000e+00       4.602139144237e-12       8.025649994245e-13      -5.044798188464e-15 
  130       5.134261219852e-10       1.447850055518e-13      -5.532829895251e-12       0.000000000000e+00       4.502632770535e-12       7.895535258915e-13      -4.989006588948e-15 
  131       5.182138951966e-10       1.455278618209e-13      -5.595047788536e-12       0.000000000000e+00       4.405695802870e-12       7.767910017491e-13      -4.932241404582e-15 
